ISO,Year,GDP per capita growth (annual %)
AND,1977,-2.654393978
AND,1978,-3.614024247
AND,1979,-4.539719708
AND,1980,-2.007360979
AND,1981,-3.859135363
AND,1982,-2.919468733
AND,1983,-2.748259222
AND,1984,-2.327825921
AND,1985,-1.302134885
AND,1986,-1.056613698
AND,1987,1.29670923
AND,1988,1.344907037
AND,1989,2.333716428
AND,1990,-0.119515605
AND,1991,-4.819169045
AND,1992,-4.994090166
AND,1993,-5.83663169
AND,1994,0.259838841
AND,1995,3.882959291
AND,1996,4.531978271
AND,1997,7.860678957
AND,1998,2.118367938
AND,1999,3.579454848
AND,2000,3.567765711
AND,2001,7.845168134
AND,2002,3.518284734
AND,2003,4.032707486
AND,2004,1.095400014
AND,2005,1.183027687
AND,2006,1.958830028
AND,2007,-1.289611512
AND,2008,-7.389298788
AND,2009,-5.746485459
AND,2010,1.889880843
AND,2011,3.749517536
AND,2012,-3.800754298
AND,2013,-1.443945404
AND,2014,4.529893817
AND,2015,3.630797937
AND,2016,3.699620468
AND,2017,-1.806057033
AND,2018,-0.302119304
AND,2019,0.265352821
AND,2020,-12.22383849
AND,2021,6.927044852
AND,2022,7.721238001
AND,2023,1.123259079
AND,2024,2.006784451
AGO,1960,
AGO,1961,
AGO,1962,
AGO,1963,
AGO,1964,
AGO,1965,
AGO,1966,
AGO,1967,
AGO,1968,
AGO,1969,
AGO,1970,
AGO,1971,
AGO,1972,
AGO,1973,
AGO,1974,
AGO,1975,
AGO,1976,
AGO,1977,
AGO,1978,
AGO,1979,
AGO,1980,
AGO,1981,-7.819537671
AGO,1982,-3.611216996
AGO,1983,0.398925562
AGO,1984,2.143506851
AGO,1985,-0.238221364
AGO,1986,-0.756799921
AGO,1987,0.529253267
AGO,1988,2.577679019
AGO,1989,-3.316708774
AGO,1990,-6.670526973
AGO,1991,-2.344652711
AGO,1992,-8.871345191
AGO,1993,-26.37419588
AGO,1994,-1.893068011
AGO,1995,11.22244903
AGO,1996,9.768938152
AGO,1997,3.692910151
AGO,1998,1.245331726
AGO,1999,-1.130798779
AGO,2000,-0.302928309
AGO,2001,0.769184668
AGO,2002,9.857802363
AGO,2003,-0.545677505
AGO,2004,7.032772669
AGO,2005,10.91124363
AGO,2006,7.514314915
AGO,2007,9.821943828
AGO,2008,7.048035489
AGO,2009,-2.902289336
AGO,2010,0.454324006
AGO,2011,-0.473683326
AGO,2012,4.407587059
AGO,2013,0.990675719
AGO,2014,0.981943968
AGO,2015,-2.630701832
AGO,2016,-6.002648683
AGO,2017,-3.620757682
AGO,2018,-4.665969917
AGO,2019,-4.010017337
AGO,2020,-8.672076174
AGO,2021,-1.969590687
AGO,2022,-0.143628268
AGO,2023,-1.988293313
AGO,2024,1.292930656
ATG,1960,
ATG,1961,
ATG,1962,
ATG,1963,
ATG,1964,
ATG,1965,
ATG,1966,
ATG,1967,
ATG,1968,
ATG,1969,
ATG,1970,
ATG,1971,
ATG,1972,
ATG,1973,
ATG,1974,
ATG,1975,
ATG,1976,
ATG,1977,
ATG,1978,4.096628155
ATG,1979,7.682602259
ATG,1980,7.761278355
ATG,1981,3.570424396
ATG,1982,-0.268580069
ATG,1983,5.122047064
ATG,1984,10.25352261
ATG,1985,8.128809182
ATG,1986,12.04007092
ATG,1987,7.176390219
ATG,1988,5.747276017
ATG,1989,5.747606411
ATG,1990,3.434862982
ATG,1991,1.659415325
ATG,1992,-0.4388383
ATG,1993,3.380941829
ATG,1994,4.671924904
ATG,1995,-6.247651182
ATG,1996,4.425739623
ATG,1997,3.33223171
ATG,1998,2.765723601
ATG,1999,1.942351959
ATG,2000,4.437084458
ATG,2001,-5.999921113
ATG,2002,-0.235736725
ATG,2003,4.916227666
ATG,2004,4.645194678
ATG,2005,5.280706903
ATG,2006,11.31964083
ATG,2007,7.843446933
ATG,2008,-1.470768949
ATG,2009,-13.28176806
ATG,2010,-9.07945361
ATG,2011,-3.108000747
ATG,2012,2.273781331
ATG,2013,-1.508467911
ATG,2014,1.391205732
ATG,2015,0.691094825
ATG,2016,3.47228425
ATG,2017,2.146187576
ATG,2018,6.174489769
ATG,2019,2.677613194
ATG,2020,-19.29454628
ATG,2021,7.583674814
ATG,2022,8.530771197
ATG,2023,1.904886418
ATG,2024,3.820191439
ARB,1960,
ARB,1961,
ARB,1962,
ARB,1963,
ARB,1964,
ARB,1965,
ARB,1966,
ARB,1967,3.801321148
ARB,1968,7.643215521
ARB,1969,4.387700513
ARB,1970,19.45526609
ARB,1971,4.47043157
ARB,1972,10.74875601
ARB,1973,10.04284838
ARB,1974,7.296689033
ARB,1975,-3.060190774
ARB,1976,10.73285916
ARB,1977,3.32473193
ARB,1978,-0.395516113
ARB,1979,6.83646659
ARB,1980,2.679833685
ARB,1981,-2.326241678
ARB,1982,-8.859361994
ARB,1983,-6.744196073
ARB,1984,-1.882507807
ARB,1985,-3.847808567
ARB,1986,-3.772177992
ARB,1987,-2.694599894
ARB,1988,0.450816902
ARB,1989,1.078540767
ARB,1990,4.368706514
ARB,1991,-2.961746501
