Code,Year,population using safely managed sanitation services,"population using only basic sanitation services, improved sanitation facilities which are not shared","population using limited sanitation services, improved sanitation facilities which are shared",population using unimproved sanitation facilities,population practicing open defecation
ECU,2010,41.035763,39.348248,9.501788,3.2098074,6.9043927
ECU,2011,41.1712,40.31263,9.308046,2.8961563,6.311967
ECU,2012,41.305885,41.275414,9.1086,2.5847478,5.7253532
ECU,2013,41.436104,42.243965,8.90433,2.27436,5.1412416
ECU,2014,41.56202,43.217995,8.695225,1.9650297,4.559732
ECU,2015,41.68323,44.198143,8.481336,1.6566769,3.9806142
ECU,2016,41.800114,45.183796,8.2626295,1.3493805,3.4040804
ECU,2017,41.912445,46.17529,8.039136,1.0430996,2.83003
ECU,2018,41.95504,47.175602,7.805422,0.7481452,2.3157914
ECU,2019,41.90062,48.10262,7.5532146,0.5503176,1.8932271
ECU,2020,41.85848,49.015648,7.2979302,0.35412258,1.4738213
ECU,2021,41.804535,49.938156,7.0394177,0.15980303,1.0580882
ECU,2022,41.591995,50.680504,7.081528,2.5961236e-15,0.6459709
EGY,2000,54.030838,37.200863,5.9944115,0.99210465,1.7817822
EGY,2001,54.013226,37.5315,5.778578,0.9956519,1.681041
EGY,2002,53.99485,37.863247,5.5623217,0.99918586,1.5803928
EGY,2003,53.97572,38.196102,5.3456454,1.0026934,1.4798379
EGY,2004,54.723106,37.762794,5.1285486,1.0061777,1.379376
EGY,2005,55.47312,37.327206,4.911032,1.0096359,1.2790076
EGY,2006,56.225758,36.889336,4.6930966,1.0130779,1.178732
EGY,2007,56.97435,36.453617,4.4760013,1.0171127,1.0789208
EGY,2008,57.722065,36.017887,4.259213,1.021517,0.9793209
EGY,2009,58.473248,35.57924,4.041924,1.0259191,0.87967336
EGY,2010,59.22759,35.13788,3.8241937,1.0303476,0.77999336
EGY,2011,59.985394,34.693607,3.6059632,1.0347687,0.6802679
EGY,2012,60.74176,34.24957,3.3882647,1.0397646,0.58064353
EGY,2013,61.501953,33.802334,3.1700373,1.0447704,0.4809069
EGY,2014,62.265713,33.352074,2.951337,1.049812,0.38106492
EGY,2015,63.03318,32.89869,2.732135,1.0548815,0.2811136
EGY,2016,63.80447,32.44211,2.512403,1.0599656,0.18105297
EGY,2017,64.582275,31.980713,2.2914796,1.064617,0.08091289
EGY,2018,65.40683,31.474174,2.0693986,1.0068111,0.042789564
