Code,Year,population using safely managed drinking water services,population using only basic drinking water services,population using limited drinking water services,population using unimproved drinking water services,population using surface water as a primary source of drinking water
ATG,2020,,,0,1.4179974,0.21700886
ATG,2021,,,0,1.418018,0.21702468
ATG,2022,,,0,1.4180295,0.21703483
ARG,2000,,,0,2.5692546,1.1467197
ARG,2001,,,0,2.3946793,1.0825008
ARG,2002,,,0,2.224116,1.0204145
ARG,2003,,,0,2.0572815,0.9603019
ARG,2004,,,0,1.8937861,0.90186775
ARG,2005,,,0,1.7336534,0.8451582
ARG,2006,,,0,1.5767198,0.7900661
ARG,2007,,,0,1.4230101,0.7366297
ARG,2008,,,0,1.2723718,0.68475014
ARG,2009,,,0,1.1248139,0.63445693
ARG,2010,,,0,0.98024124,0.5857108
ARG,2011,,,0,0.83901334,0.5391239
ARG,2012,,,0,0.7005262,0.49418014
ARG,2013,,,0,0.6473787,0.48842236
ARG,2014,,,0,0.59408844,0.48266354
ARG,2015,,,0,0.5407036,0.47698823
ARG,2016,,,0,0.48686865,0.47175756
ARM,2000,82.350716,12.981461,2.110092,2.3610754,0.19665301
ARM,2001,82.45862,13.129341,1.9819851,2.2208745,0.20918097
ARM,2002,82.57382,13.285291,1.8471481,2.07266,0.22107677
ARM,2003,82.6919,13.444957,1.7091212,1.9212747,0.23274185
ARM,2004,82.81056,13.606103,1.5697194,1.7691618,0.24445644
ARM,2005,82.929756,13.768703,1.4289623,1.6163508,0.2562272
ARM,2006,83.04957,13.932836,1.2867869,1.4627701,0.2680411
ARM,2007,83.16992,14.098443,1.1432365,1.3084848,0.27991164
ARM,2008,83.29089,14.265589,0.99825877,1.153435,0.29182488
ARM,2009,83.26617,14.580479,0.85188645,0.9976753,0.30379522
ARM,2010,83.24159,14.897326,0.70409113,0.84117866,0.31581557
ARM,2011,83.21717,15.216141,0.5548656,0.68393797,0.327886
ARM,2012,83.19289,15.536934,0.40420255,0.5259681,0.34000644
ARM,2013,83.16902,15.859902,0.25195998,0.36714476,0.35197034
ARM,2014,83.14535,16.179527,0.10361854,0.20774606,0.36375973
ARM,2015,83.07821,16.44635,0,0.1005901,0.37484905
ARM,2016,82.93473,16.59462,0,0.08584446,0.38480455
ARM,2017,82.79146,16.742949,0,0.0711265,0.39446595
ARM,2018,82.95984,16.95499,0,0.05642032,0.028751193
ARM,2019,82.822845,17.105324,0,0.043045007,0.028783064
ARM,2020,82.68582,17.255697,0,0.02965774,0.02882586
ARM,2021,82.548775,17.406116,0,0.016226301,0.028879587
ARM,2022,82.41172,17.556581,0,0.002751264,0.028944239
ABW,2000,,,0,5.4195766,0.09161704
ABW,2001,,,0,5.1312733,0.09823565
ABW,2002,,,0,4.84297,0.10485427
ABW,2003,,,0,4.5546665,0.11147288
ABW,2004,,,0,4.266363,0.118091494
ABW,2005,,,0,3.9780598,0.12471011
ABW,2006,,,0,3.6897564,0.13132873
ABW,2007,,,0,3.401453,0.13794734
